id,problem_id,question,answer,tag
1,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (i - 1 < n) {
    result *= i;
    i++;
  }
  return result;
}
",0
2,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 2;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
3,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",0
4,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 1;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",0
5,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 1;
  while (i - 1 >= 0) {
    result *= i;
    i--;
  }
  return result;
}
",0
6,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = n;
  while (i >= 1) {
    result *= i;
    i--;
  }
  return result;
}
",0
7,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 0;
  let result = 1;
  while (i < n) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
8,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 0;
  let result = 1;
  while (n - 1 >= i) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
9,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (n >= i) {
    result *= i;
    i++;
  }
  return result;
}
",0
10,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 1;
  while (0 < i) {
    result *= i;
    i--;
  }
  return result;
}
",0
11,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = 1;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",0
12,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 1;
  while (0 <= i - 1) {
    result *= i;
    i--;
  }
  return result;
}
",0
13,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 0;
  while (n - 1 >= i) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
14,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 2;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
15,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 1;
  while (i >= 1) {
    result *= i;
    i--;
  }
  return result;
}
",0
16,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 0;
  while (i < n) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
17,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = n;
  while (i - 1 >= 0) {
    result *= i;
    i--;
  }
  return result;
}
",0
18,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  while (0 <= n - 1) {
    result *= n;
    n--;
  }
  return result;
}
",0
19,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 2;
  while (n + 1 > i) {
    result *= i;
    i++;
  }
  return result;
}
",0
20,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 1;
  while (1 <= i) {
    result *= i;
    i--;
  }
  return result;
}
",0
21,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  while (0 < n) {
    result *= n;
    n--;
  }
  return result;
}
",0
22,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  while (1 <= n) {
    result *= n;
    n--;
  }
  return result;
}
",0
23,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  while (n > 0) {
    result *= n;
    n--;
  }
  return result;
}
",0
24,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 0;
  let result = 1;
  while (i + 1 <= n) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
25,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
26,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (n + 1 > i) {
    result *= i;
    i++;
  }
  return result;
}
",0
27,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = n;
  while (i > 0) {
    result *= i;
    i--;
  }
  return result;
}
",0
28,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 2;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",0
29,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 2;
  while (n >= i) {
    result *= i;
    i++;
  }
  return result;
}
",0
30,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 0;
  while (n > i) {
    result *= i + 1;
    i++;
  }
  return result;
}
",0
31,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = 1;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
32,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 1;
  let i = n;
  while (0 < i) {
    result *= i;
    i--;
  }
  return result;
}
",0
33,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = 1;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
34,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = 1;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
35,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 1;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",0
36,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = -1;
  while (i - 1 < n) {
    result *= i;
    i++;
  }
  return result;
}
",1
37,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 0;
  let i = 1;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",1
38,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 2;
  while (i > 0) {
    result *= i;
    i--;
  }
  return result;
}
",1
39,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 0;
  let result = 0;
  while (n - 1 >= i) {
    result *= i + 1;
    i++;
  }
  return result;
}
",1
40,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 2;
  let i = 2;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",1
41,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 0;
  while (i - 1 >= 0) {
    result *= i;
    i--;
  }
  return result;
}
",1
42,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 0;
  let i = 1;
  while (n + 1 > i) {
    result *= i;
    i++;
  }
  return result;
}
",1
43,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 0;
  let i = n;
  while (i >= 1) {
    result *= i;
    i--;
  }
  return result;
}
",1
44,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = -1;
  while (1 <= n) {
    result *= n;
    n--;
  }
  return result;
}
",1
45,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = 0;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",1
46,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = -1;
  let i = 1;
  while (i < n + 1) {
    result *= i;
    i++;
  }
  return result;
}
",1
47,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 0;
  let i = 2;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",1
48,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 2;
  let i = 2;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",1
49,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 2;
  let i = n;
  while (i - 1 >= 0) {
    result *= i;
    i--;
  }
  return result;
}
",1
50,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 1;
  let result = 0;
  while (i <= n) {
    result *= i;
    i++;
  }
  return result;
}
",1
51,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 2;
  let i = 1;
  while (n >= i) {
    result *= i;
    i++;
  }
  return result;
}
",1
52,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 0;
  while (1 <= i) {
    result *= i;
    i--;
  }
  return result;
}
",1
53,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 2;
  let i = 0;
  while (i < n) {
    result *= i + 1;
    i++;
  }
  return result;
}
",1
54,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = 2;
  let result = -1;
  while (n > i - 1) {
    result *= i;
    i++;
  }
  return result;
}
",1
55,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let result = 0;
  let i = 2;
  while (i - 1 < n) {
    result *= i;
    i++;
  }
  return result;
}
",1
56,1,"Write a JavaScript function that returns the factorial of a number using a ""while"" loop.
","function factorial(n) {
  let i = n;
  let result = 0;
  while (i > 0) {
    result *= i;
    i--;
  }
  return result;
}
",1
